x,y,z,met
-0.84360206,0.2607037,-0.100506194,2.5
-0.7810283,0.24514246,0.20739754,2.5
-0.9843931,0.13621372,0.5922772,2.5
-1.3285489,0.042846225,0.20739754,2.5
-1.0000366,0.07396872,-0.11590137,2.5
-0.96874964,0.15177497,-0.13129656,2.5
-0.90617585,0.21401995,-0.06971582,2.5
-1.0000366,0.2295812,-0.008135075,2.5
-1.0626104,0.24514246,0.038050484,2.5
-1.0469669,0.2295812,0.038050484,2.5
-0.9843931,0.24514246,0.11502641,2.5
-0.89053243,0.24514246,0.17660716,2.5
-0.79667175,0.2295812,0.20739754,2.5
-0.7497414,0.19845872,0.16121197,2.5
-0.73409796,0.18289746,0.11502641,2.5
-0.7497414,0.19845872,0.11502641,2.5
-0.82795864,0.21401995,0.09963123,2.5
-0.9843931,0.2295812,0.068840854,2.5
-0.9843931,0.2295812,0.068840854,2.5
-1.0626104,0.24514246,0.09963123,2.5
-1.0626104,0.24514246,0.16121197,2.5
-1.0156801,0.24514246,0.22279271,2.5
-0.93746275,0.24514246,0.22279271,2.5
-0.87488896,0.24514246,0.23818791,2.5
-0.89053243,0.24514246,0.23818791,2.5
-0.93746275,0.24514246,0.25358307,2.5
-0.96874964,0.2607037,0.25358307,2.5
-1.0000366,0.24514246,0.25358307,2.5
-1.0156801,0.2295812,0.23818791,2.5
-1.0313234,0.21401995,0.23818791,2.5
-1.0313234,0.19845872,0.26897827,2.5
-1.0313231,0.19946672,0.26897827,2.5
